Zone/Quadrant,Neighbourhood,Airport access,Healthcare access,Closest major area,University access,Downtown access,Car dependency level,Newcomers support access,Crime rate category,Primary demographic,Affordability,Walkability,Transit access,Safety perception,Nightlife/social,Family friendly,Parks/green space,Diversity level,Religious/cultural access,Church access,Mosque access,Temple/Gurdwara access,Cultural grocery access,Elementary schools count,Middle/Jr high schools count,High schools count,Community vibe,Best for,Avg 1BR Rent,Average Mortgage Payment,Avg Home Price,Affordability Score,Winter Walkability,Transit Type,Noise Level,Parking Availability,Grocery Store Access,Coffee Shop Density,Fitness & Wellness,Student Friendly,Community Center,Suburban or City-Like,Key Tradeoffs,MVP Score,Recommendation Tier,Affordability Band,Main Risk Category,Primary Matching Drivers,Data Confidence,Urban Form,Needs Validation,Density,Lifestyle identity
Downtown,Inglewood,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,1,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Mission,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,1,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Ramsay,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,0,1,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Sunnyside,0.5,0.8,Downtown Core / Beltline,0.8,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,1,1,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,CTrain & Bus,0.8,0.2,0.8,0.8,0.8,0.8,Yes,City-like,Higher noise,94,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, student access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
Downtown,Victoria Park,0.5,0.8,Downtown Core / Beltline,0.5,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0,0,0,"Urban, walkable, social",Young professionals,"$1,930","$2,710","$565,000",5,0.8,Bus-focused,0.8,0.2,0.8,0.8,0.8,0.2,Yes,City-like,Higher noise,93,Tier 1 - Strong fit,Lower-cost / value-oriented,Noise / congestion,"walkability, cultural access, family fit, downtown access",Starter estimate - verify with official sources,Urban core,Yes,High,"Urban, walkable, social / City-like"
NW,Arbour Lake,0.5,0.5,Crowfoot / NW Suburbs,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,3,0,1,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,Established suburban,Yes,Medium,"Suburban, family-focused / Suburban"
NW,Banff Trail,0.5,0.5,Kensington / SAIT / NW Calgary,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Bowness,0.5,0.8,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Brentwood,0.5,0.8,University of Calgary / Market Mall,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,0,0,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Capitol Hill,0.5,0.5,Kensington / SAIT / NW Calgary,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Charleswood,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Citadel,0.5,0.5,Crowfoot / NW Suburbs,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,1,0,1,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,Established suburban,Yes,Medium,"Suburban, family-focused / Suburban"
NW,Collingwood,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,1,0,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Dalhousie,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,1,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Edgemont,0.5,0.5,Kensington / SAIT / NW Calgary,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,1,0,1,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,Established suburban,Yes,Medium,"Suburban, family-focused / Suburban"
NW,Evanston,0.5,0.5,Kensington / SAIT / NW Calgary,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,2,1,0,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,New suburban / master-planned,Yes,Low-Medium,"Suburban, family-focused / Suburban"
NW,Greenwood/Greenbriar,0.5,0.5,University of Calgary / Market Mall,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Hamptons,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Hawkwood,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,0,0,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Hidden Valley,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,1,0,0,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Hillhurst,0.5,0.5,University of Calgary / Market Mall,0.8,0.8,0.2,0.8,0.2,Young professionals,0.8,0.8,0.5,0.8,0.5,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0,1,0,"Urban, walkable, social",Young professionals,"$1,680","$2,850","$595,000",5,0.65,Bus-focused,0.5,0.5,0.8,0.8,0.8,0.8,Yes,Balanced,Balanced but verify fit,94,Tier 1 - Strong fit,Lower-cost / value-oriented,Limited major risk in starter model,"walkability, cultural access, family fit, student access",Starter estimate - verify with official sources,Inner-city / walkable,Yes,Medium-High,"Urban, walkable, social / Balanced"
NW,Hounsfield Heights/Briar Hill,0.5,0.5,University of Calgary / Market Mall,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,1,0,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Kincora,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0,0,0,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Montgomery,0.5,0.8,University of Calgary / Market Mall,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,1,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Nolan Hill,0.5,0.5,Kensington / SAIT / NW Calgary,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,1,2,0,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,Established suburban,Yes,Medium,"Suburban, family-focused / Suburban"
NW,North Haven,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,1,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,North Haven Upper,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Panorama Hills,0.5,0.5,Kensington / SAIT / NW Calgary,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,2,2,1,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,Established suburban,Yes,Medium,"Suburban, family-focused / Suburban"
NW,Parkdale,0.5,0.8,University of Calgary / Market Mall,0.8,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.8,Yes,Suburban,Balanced but verify fit,80,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,student access,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Point McKay,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,1,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Ranchlands,0.5,0.5,Crowfoot / NW Suburbs,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,1,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Rocky Ridge,0.5,0.5,Crowfoot / NW Suburbs,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,3,1,0,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,New suburban / master-planned,Yes,Low-Medium,"Suburban, family-focused / Suburban"
NW,Rosedale,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,0,1,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Rosemont,0.5,0.5,Kensington / SAIT / NW Calgary,0.2,0.5,0.5,0.5,0.5,Mixed households,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.5,2,0,1,Established mixed community,Mixed residents,"$1,800","$3,070","$640,000",3,0.5,Bus-focused,0.2,0.8,0.5,0.5,0.5,0.5,Yes,Suburban,Balanced but verify fit,78,Tier 2 - Good fit,Mid-market,Limited major risk in starter model,balanced lifestyle fit,Starter estimate - verify with official sources,Established suburban,Yes,Medium,Established mixed community / Suburban
NW,Royal Oak,0.5,0.5,Crowfoot / NW Suburbs,0.5,0.8,0.2,0.5,0.8,Families,0.5,0.5,0.8,0.2,0.8,0.5,0.8,0.5,0.5,0.5,0.2,0.2,0.5,2,2,1,"Suburban, family-focused",Families,"$1,800","$3,070","$640,000",3,0.5,CTrain & Bus,0.8,0.8,0.5,0.8,0.8,0.8,Yes,Suburban,Higher noise,81,Tier 2 - Good fit,Mid-market,Crime perception,"transit, green space, student access, downtown access",Starter estimate - verify with official sources,Established suburban,Yes,Medium,"Suburban, family-focused / Suburban"
